ÌìÊý,Sham,IR,AT9(C/G)+IR,FMTWT+IR,FMTAT9(C/G)+IR
1,100,100,100,100,100
2,100,100,100,100,100
3,100,100,100,100,100
4,100,80,90,80,90
5,100,50,80,70,70
6,100,20,70,50,60
7,100,10,60,30,50
8,100,10,60,30,50
9,100,10,60,30,50
10,100,10,60,30,50
11,100,10,60,30,50
12,100,10,60,30,50
13,100,10,60,30,50
14,100,10,60,30,50
15,100,10,60,30,50
16,100,10,60,30,50
17,100,10,60,30,50
18,100,10,60,30,50
19,100,10,60,30,50
20,100,10,60,30,50
21,100,10,60,30,50
22,100,10,60,30,50
23,100,10,60,30,50
24,100,10,60,30,50
25,100,10,60,30,50
26,100,10,60,30,50
27,100,10,60,30,50
28,100,10,60,30,50
29,100,10,60,30,50
30,100,10,60,30,50
