Time,200uM,100uM,50uM,25uM
,,,,
0,0,0,0,0
0.2,6.378E-4,4.3095E-4,-2.03E-04,-1.31E-04
0.4,0.00114,6.6357E-4,-6.08E-04,-4.73E-04
0.6,0.00175,9.3635E-4,-5.63E-04,-8.73E-04
0.8,0.00227,9.1666E-4,-7.30E-04,-0.00101
1,0.00278,0.00149,-3.89E-04,-0.00105
1.2,0.00336,0.00159,-1.31E-04,-9.04E-04
1.4,0.00365,0.00188,-1.62E-05,-0.00102
1.6,0.00386,0.00172,3.009E-5,-9.93E-04
1.8,0.00361,0.00173,-2.69E-05,-0.00113
2,0.0036,0.00177,-5.79E-05,-0.0013
2.2,0.00427,0.00218,7.0181E-4,-7.17E-04
2.4,0.00432,0.00258,0.0013,-4.72E-04
2.6,0.00409,0.00248,0.002,3.715E-5
2.8,0.00396,0.00271,0.00228,3.6388E-4
3,0.00373,0.00247,0.00214,7.3129E-4
3.2,0.00365,0.00234,0.00207,8.3235E-4
3.4,0.00311,0.00176,0.00185,4.528E-4
3.6,0.00274,0.0015,0.00188,-1.91E-04
3.8,0.00235,0.00145,0.00164,-4.65E-04
4,0.0023,0.00166,0.0016,-5.16E-04
4.2,0.00282,0.0018,0.00117,-3.40E-04
4.4,0.00284,0.00143,8.1531E-4,-3.36E-04
4.6,0.00323,0.00123,8.8057E-4,-2.87E-04
4.8,0.00362,0.00144,9.9449E-4,2.1694E-4
5,0.00401,0.0018,0.00151,2.8549E-4
5.2,0.00431,0.00156,0.00138,3.487E-5
5.4,0.00457,0.00138,9.7281E-4,-2.96E-04
5.6,0.00498,0.00171,8.4822E-4,9.781E-5
5.8,0.00508,0.00173,0.00101,1.5572E-4
6,0.00553,0.00171,0.00116,4.2658E-4
6.2,0.00551,0.00233,0.00133,9.9864E-4
6.4,0.0055,0.00258,0.00128,0.00108
6.6,0.00564,0.00296,0.00171,0.0014
6.8,0.00553,0.00277,0.00129,0.00108
7,0.00587,0.00264,0.00136,0.00125
7.2,0.0058,0.00221,0.00149,7.6341E-4
7.4,0.00522,0.00186,0.00154,1.0185E-4
7.6,0.0053,0.00191,0.00191,1.0915E-4
7.8,0.00526,0.00219,0.00211,2.595E-5
8,0.00557,0.00182,0.002,1.1847E-4
8.2,0.00591,0.00166,0.00187,2.9298E-4
8.4,0.0055,0.001,0.00169,1.1417E-4
8.6,0.00558,0.00125,0.00193,-7.60E-06
8.8,0.00611,0.00201,0.00232,1.4783E-4
9,0.00629,0.00167,0.00233,-1.68E-04
9.2,0.00625,0.00179,0.00223,-1.24E-04
9.4,0.00643,0.00196,0.00189,4.3422E-4
9.6,0.00687,0.00253,0.00244,0.0012
9.8,0.00693,0.00212,0.00219,0.00132
10,0.00697,0.00244,0.00194,0.00108
10.2,0.00703,0.00272,0.00175,0.00133
10.4,0.00765,0.00313,0.00168,0.00171
10.6,0.00795,0.00318,0.00141,0.00216
10.8,0.00817,0.00326,0.00126,0.00226
11,0.00826,0.00327,0.00172,0.00255
11.2,0.00801,0.00296,0.00164,0.00213
11.4,0.00789,0.00305,0.00216,0.00223
11.6,0.00838,0.00349,0.0026,0.00209
11.8,0.00857,0.00324,0.00254,0.0017
12,0.00832,0.00259,0.00206,8.7054E-4
12.2,0.00848,0.00263,0.00212,3.0888E-4
12.4,0.008,0.00213,0.00176,-1.13E-05
12.6,0.00846,0.00246,0.00207,-5.20E-04
12.8,0.00892,0.00256,0.00212,-4.09E-04
13,0.00876,0.00237,0.00194,-5.72E-04
13.2,0.00845,0.00247,0.00196,-2.55E-04
13.4,0.00846,0.00301,0.002,2.277E-4
13.6,0.00862,0.0031,0.00221,4.1474E-4
13.8,0.00875,0.00365,0.00226,9.1887E-4
14,0.00937,0.00421,0.00274,0.00156
14.2,0.00991,0.00471,0.00269,0.00192
14.4,0.00991,0.00539,0.00232,0.00202
14.6,0.00978,0.00594,0.00241,0.00201
14.8,0.00929,0.00638,0.00268,0.00217
15,0.00873,0.00621,0.0025,0.00188
15.2,0.00858,0.00618,0.00242,0.00206
15.4,0.00866,0.00655,0.00311,0.00223
15.6,0.0084,0.00608,0.00287,0.00206
15.8,0.0082,0.00542,0.00282,0.00181
16,0.00755,0.0048,0.00233,0.00133
16.2,0.00766,0.00397,0.00218,0.00124
