id,log2FoldChange,pvalue
Lysine,-0.261571942459318,0.435160928
Histidine,-0.474815107739253,0.132034632
Arginine,-0.201714629214219,0.484848485
Ornithine,-0.858001807133872,0.041125541
Glutamine,-0.566449923969188,0.093073593
Glutamic acid,-0.484627144326133,0.484848485
Sarcosine,-1.03396197327439,0.010473275
beta-Alanine,-0.610742533896827,0.064935065
Alanine,-0.476982340940618,0.059358155
Dimethylglycine,-0.467319089821172,0.24025974
GABA,-0.391594270612631,0.329453505
Serine,-0.455881646783028,0.132034632
Threonine,-0.51608870651128,0.083357492
Creatine,-1.39113086392343,0.041125541
N-Acetylserotonin,0.00596168522393217,0.980370597
Hydroxypropionic acid,-0.105876724345248,0.937229437
Aminocaproic acid,-0.628232716021481,0.029089954
Glycylproline,-0.320936399887388,0.17965368
AMP,-1.60765087036158,0.393939394
GMP,-0.937663272319277,0.393939394
Lactic acid,-0.889282849499412,0.002307151
Nicotinic acid,-0.259423542093184,0.24025974
2-Phenylglycine,-0.735594779137385,0.057599224
Tyrosine,-0.130222979303076,0.751349426
Asparagine,-0.644401147311229,0.17965368
Protocatechuic acid,-1.00845063810132,0.106191762
Phenylalanine,-0.366497864785659,0.393939394
Glycylleucine,-0.471117866499722,0.280885321
Aspartic acid,-0.241427265398397,0.398343933
Aminoadipic acid,0.132383369361067,0.708336265
2-Butenoic acid,-0.73866342358625,0.196319931
2-Hydroxy-3-methylbutyric acid,-1.70611082377492,9.02745E-05
Picolinic acid,-0.347851368927466,0.105207851
4-Hydroxybenzoic acid,-0.926753928969257,0.009292666
Hippuric acid,-0.36922148864156,0.699134199
Malic acid,-0.809391813837143,0.064935065
N-Acetylaspartic acid,-1.82642388969383,0.025974026
N-Acetytyrosine,-0.523314195123041,0.699134199
Indole-3-methyl acetate,-0.593416914910176,0.025406137
Ethylmethylacetic acid,0.0935007112998038,0.818181818
2-Methy-4-pentenoic acid,-0.983625857373406,0.013717401
2-Hydroxycaproic acid,0.252869839782469,0.674316961
4-Hydroxycinnamic acid,0.853001682501568,0.196584959
Indoleacetic acid,-0.82482001238033,0.009625782
Salicyluric acid,-0.0791142907896202,0.836488637
Fumaric acid,-0.928801186837004,0.034824248
Glutaric acid,-0.615380821204036,0.28226894
N-Acetyltryptophan,-0.450544318308147,0.484848485
Cinnamic acid,-0.0652252828811048,0.888486721
Hydrocinnamic acid,1.23496085438575,0.087055566
Indole-3-propionic acid,-0.476742686511191,0.264250841
N-Phenylacetylphenylalanine,-0.500724844049788,0.114418058
Azelaic acid,0.24821451831388,0.699134199
Sebacic acid,0.272689018706079,0.30952381
alpha-Ketoisovaleric acid,-0.580378205827116,0.17965368
Ketoleucine,-0.298910236852755,0.396276264
3-Methyl-2-oxopentanoic acid,-0.396277555240738,0.17965368
Phenylpyruvic acid,-0.0586520275218849,0.911047644
Methylmalonic acid,-1.09823682923494,0.094925228
2-Hydroxyglutaric acid,-0.37413066725325,0.378642313
Glycine,-0.361865834506462,0.184491831
Citrulline,-0.327822935318886,0.518175807
Galactonic acid,-1.21107749319184,0.047994304
Gluconolactone,-1.32906719050963,0.24025974
Glycolic acid,-0.122880595106356,0.484848485
Glyceric acid,-0.60035188767918,0.092298942
Proline,-0.644770117593545,0.004329004
Acetylglycine,-0.630922726750261,0.028198074
Pipecolic acid,-0.573672443158442,0.17965368
Erythronic acid,-0.634149026454761,0.029378852
N-Acetylserine,-0.63247846844755,0.165973911
Ribonic acid,-0.564008435938235,0.249926882
Shikimic acid,-0.646765000881451,0.588744589
N-Acetylglutamine,-1.27873337805739,0.000347047
Quinic acid,-0.738938818826404,0.037255686
N-Acetylneuraminic acid,-0.400038836372133,0.18048035
Melibiose,-0.574955432861796,0.39910263
Acetic acid,-0.0327246355430424,0.845305247
