LCAº¬Á¿,,,,BP·á¶È,
,,,,,
BR,AR,,,BR,AR
6011.7527,337.9973,,,14.59628,28.37546
1729.7078,5880.4422,,,43.31361,57.44919
1523.5313,4697.8807,,,0.98842,0
5963.4875,1994.6805,,,83.64809,34.46221
6916.1382,3117.5412,,,9.27995,1.42639
8017.4293,992.6756,,,2.76867,0
1776.4185,1921.4417,,,129.54288,0
6416.5539,1129.212,,,139.75236,35.46825
2368.2561,1.4991,,,2.53252,10.31053
558.4334,3152.5978,,,62.60954,0
5595.4175,5727.0827,,,171.42869,39.74458
3385.0593,3738.2932,,,8.36118,0
5139.9746,4045.668,,,,
7567.7144,7602.2977,,,,
3819.1088,868.5024,,,,
6783.926,5844.3995,,,,
8290.5201,7554.5963,,,,
5277.3319,2119.8522,,,,
5513.9368,1749.3065,,,,
3520.4095,1017.3843,,,,
