LCA (nmol/g),IL-6 concentration (pg/mL),,,,,,,,,,,,,,
337.9973,13.57,,,,,,,,,,,,,,
5880.4422,4.82,,,,,,,,,,,,,,
4697.8807,3.8,,,,,,,,,,,,,,
1994.6805,4.59,,,,,,,,,,,,,,
3117.5412,5.61,,,,,,,,,,,,,,
992.6756,10.52,,,,,,,,,,,,,,
1921.4417,2.86,,,,,,,,,,,,,,
1129.212,6.81,,,,,,,,,,,,,,
1.4991,9.98,,,,,,,,,,,,,,
3152.5978,3.41,,,,,,,,,,,,,,
5727.0827,4.76,,,,,,,,,,,,,,
3738.2932,9.89,,,,,,,,,,,,,,
4045.668,6.86,,,,,,,,,,,,,,
7602.2977,7.69,,,,,,,,,,,,,,
868.5024,5.54,,,,,,,,,,,,,,
5844.3995,3.79,,,,,,,,,,,,,,
7554.5963,1.3,,,,,,,,,,,,,,
2119.8522,2.82,,,,,,,,,,,,,,
1749.3065,8.98,,,,,,,,,,,,,,
1017.3843,11.21,,,,,,,,,,,,,,
