ID,Term,Category,Genes,P value,gene,logfc
GO: map00830,Retinol metabolism,BP,"Rdh10, Adh7, Retsat, Ugt2b15, Aox1, GENSCAN00000027138, GENSCAN00000036910",8.19E-06,Rdh10,-0.674068759
GO: map00980,Metabolism of xenobiotics by cytochrome P450,BP,"Cbr3,Aldh3a1,Adh7,Gsta3, Gstp1, Ugt2b15, GENSCAN00000016618, GENSCAN00000027138",1.16E-05,Adh7,-0.847761275
GO: map00982,Drug metabolism - cytochrome P450,BP,"Aldh3a1, Adh7, Gsta3, Gstp1, Ugt2b15, Aox1, GENSCAN00000016618, GENSCAN00000027138",1.16E-05,Retsat,-0.777890728
GO: map00480,Glutathione metabolism,BP,"Gsta3, Gclm, Gsr, Gstp1, Gss, Gpx1, G6pdx, GENSCAN00000016618, GENSCAN00000024350",1.53E-05,Ugt2b15,-0.717434253
GO: map05204,Chemical carcinogenesis,BP,"Aldh3a1, Adh7, Gsta3, Gstp1, Ugt2b15, GENSCAN00000016618, GENSCAN00000027138",0.000245949,Aox1 ,-1.264303942
GO: map01040,Biosynthesis of unsaturated fatty acids,BP,"Elovl5, Scd1, Fads2, Fads1, Acot5",0.000775954,GENSCAN00000027138,-0.703691435
GO: map00040,Pentose and glucuronate interconversions,BP,"Akr1b1, Akr1b8, Ugt2b15, GENSCAN00000027138",0.002412183,GENSCAN00000036910,0.739730884
GO: map04216,Ferroptosis,BP,"Slc7a11, Gclm, Hmox1, Slc3a2, Gss, Slc39a8",0.002518943,Cbr3,-0.715058297
GO: map01230,Biosynthesis of amino acids,BP,"Tktl2, Taldo1, Glul, GENSCAN00000000908, GENSCAN00000004834, GENSCAN00000018066, GENSCAN00000052934, GENSCAN00000054531, GENSCAN00000054890, GENSCAN00000055013, GENSCAN00000056544, GENSCAN00000059707",0.003205556,Aldh3a1,-1.661815195
GO: map00860,Porphyrin and chlorophyll metabolism,BP,"Hmox1, Ugt2b15, Blvrb, Alas1, GENSCAN00000027138",0.003760738,Gsta3,-2.478695746
,,,,,Gstp1,-0.99452568
,,,,,GENSCAN00000016618,-0.721143062
,,,,,GENSCAN00000024350,1.020025157
,,,,,Gclm,-0.996401597
,,,,,Gsr,-0.782303617
,,,,,Gss,-0.723608898
,,,,,Gpx1,-0.670562172
,,,,,G6pdx,-1.021222523
,,,,,Elovl5,0.655203788
,,,,,Scd1,1.25834083480066
,,,,,Fads2,1.064637691
,,,,,Fads1,0.993638426
,,,,,Acot5,-1.054619102
,,,,,Akr1b1,-1.081561631
,,,,,Akr1b8,-1.365367738
,,,,,Slc7a11,-2.658706252
,,,,,Hmox1,-1.162351661
,,,,,Slc3a2,-0.599538436
,,,,,Slc39a8,0.633626061
,,,,,Tktl2,-0.995321498
,,,,,Taldo1,-0.683676799
,,,,,Glul,-1.603375295
,,,,,Blvrb,-0.672230533
,,,,,Alas1,-1.11704437
,,,,,GENSCAN00000000908,-1.17055128
,,,,,GENSCAN00000004834,0.701773516
,,,,,GENSCAN00000018066,-0.939961473
,,,,,GENSCAN00000052934,-1.044238237
,,,,,GENSCAN00000054531,1.167236948
,,,,,GENSCAN00000054890 ,-1.667541085
,,,,,GENSCAN00000055013,-0.964065113
,,,,,GENSCAN00000056544,-0.998560599
,,,,,GENSCAN00000059707,0.621451632
