id,log2FoldChange,pvalue
Hsd3b2,5.53712221500888,0.000031
Scd1,3.313873433,1.26934E-07
Scd2,2.565248929,2.79948E-10
Agmo,2.488113526,3.54875E-17
Pla2g4c,2.29658391,0.000151811
Pla2g3,2.116177816,0.001629057
Gdpd1,1.978910188,1.40405E-06
Fa2h,1.893984122,0.006486892
Cryl1,1.885110954,4.03887E-09
Fads2,1.647509128,3.73758E-05
Pla2g10,1.568621279,0.012144168
Chpt1,1.503396043,0.000242385
Acox2,1.39185405,0.000864349
Plcb3,1.335162465,6.11036E-10
Ehhadh,1.234477563,0.000166033
Hmgcs1,1.218039647,2.57786E-05
Plcl2,1.124458776,1.02533E-07
Sdr42e1,1.00705763,0.00365324
Pla2g12b,1.006106518,0.006896384
Acox1,0.930036342,0.00000678
Pip5k1b,0.90993092,0.000101835
Ptdss1,0.895739861,3.31834E-05
Ebp,0.859404703,0.000108609
Plcd1,0.855649579,0.006958595
Pafah2,0.832129432,0.002512002
Tecr,0.828546161,0.000441053
Sc5d,0.795658684,2.97078E-05
Gal3st1,0.775848422,0.002302489
Pigx,0.627896655,0.007474981
Pnpla6,0.627803325,0.00359053
Psap,-0.63069804,0.035913846
Pip5k1a,-0.687080346,0.000797727
Pla2g15,-0.695815952,0.005410538
Degs1,-0.803119866,0.000318507
Pla2g2d,-1.358027934,0.000375576
Lcat,-1.590673516,0.003857398
Pla2g7,-1.831447998,1.70803E-07
Pla2g2a,-2.243390357,9.83683E-07
Plcd3,-2.392802437,8.26043E-21
Pla2g2f,-2.442826518,9.62778E-07
MGP_C57BL6NJ_G0040532,-2.63257401,2.49277E-05
Clps,-2.792268999,1.9704E-10
Ch25h,-4.187074805,3.4047E-22
